attempt,time,model_name,precision,recall,accuracy,F1-score
de_core_news_sm--03-26-06-08-38,03-29-00-28-43,de_core_news_sm,0.11170688114387846,0.5122950819672131,0.9385116844373239,0.1834189288334556
/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17,03-29-00-28-43,/content/drive/MyDrive/NLP_Project_New/models/sermons_60it,0.45614035087719296,0.10379241516966067,0.9811796769975876,0.16910569105691056
dbmdz/bert-base-german-cased--03-26-06-43-39,03-29-00-28-43,dbmdz/bert-base-german-cased,0.004064112516553267,0.10974106041923551,0.5850689648822349,0.007837956847203875
/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24,03-29-00-28-43,/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep,0.7596795727636849,0.5759109311740891,0.9889693018801908,0.6551525618883132
dbmdz/flair-historic-ner-onb--03-26-08-44-50,03-29-00-28-43,dbmdz/flair-historic-ner-onb,0.34536082474226804,0.5386934673366834,0.9728375964495516,0.42088731841382016
dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54,03-29-00-28-43,dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5,0.681704260651629,0.2728184553660983,0.9843102591017071,0.3896848137535816
mschiesser/ner-bert-german--03-28-23-22-04,03-29-00-28-43,mschiesser/ner-bert-german,0.2662866449511401,0.33469805527123847,0.9714380420971217,0.29659863945578235
