attempt,time,model_name,precision,recall,accuracy,F1-score
de_core_news_sm--03-26-06-08-38,03-29-00-29-41,de_core_news_sm,0.14290039358159248,0.5351473922902494,0.9403163729444045,0.22556750298685782
/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17,03-29-00-29-41,/content/drive/MyDrive/NLP_Project_New/models/sermons_60it,0.4881889763779528,0.12487411883182276,0.9816032263410861,0.19887730553327987
dbmdz/bert-base-german-cased--03-26-06-43-39,03-29-00-29-41,dbmdz/bert-base-german-cased,0.005445140212360468,0.1466992665036675,0.5835220890190229,0.01050052502625131
/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24,03-29-00-29-41,/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep,0.790341578327444,0.6791497975708503,0.990884481520358,0.7305389221556886
dbmdz/flair-historic-ner-onb--03-26-08-44-50,03-29-00-29-41,dbmdz/flair-historic-ner-onb,0.3201871657754011,0.4887755102040816,0.9720457433290979,0.3869143780290792
dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54,03-29-00-29-41,dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5,0.7552986512524085,0.3923923923923924,0.986483251385743,0.5164690382081686
mschiesser/ner-bert-german--03-28-23-22-04,03-29-00-29-41,mschiesser/ner-bert-german,0.3648351648351648,0.5055837563451777,0.9750658343001307,0.4238297872340425
