attempt,time,model_name,precision,recall,accuracy,F1-score
de_core_news_sm--03-26-06-08-38,03-29-00-30-41,de_core_news_sm,0.10810810810810811,0.4085510688836104,0.9385669300038672,0.1709741550695825
/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17,03-29-00-30-41,/content/drive/MyDrive/NLP_Project_New/models/sermons_60it,0.4482758620689655,0.10452261306532663,0.9812349225641309,0.16951915240423798
dbmdz/bert-base-german-cased--03-26-06-43-39,03-29-00-30-41,dbmdz/bert-base-german-cased,0.0034202845676760307,0.09316770186335403,0.584129790250999,0.006598337219020808
/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24,03-29-00-30-41,/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep,0.7526881720430108,0.5725971370143149,0.9889140563136475,0.6504065040650407
dbmdz/flair-historic-ner-onb--03-26-08-44-50,03-29-00-30-41,dbmdz/flair-historic-ner-onb,0.2619718309859155,0.38952879581151834,0.9699648269893008,0.3132631578947368
dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54,03-29-00-30-41,dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5,0.6993736951983298,0.3394123606889564,0.9853415096771817,0.45702592087312405
mschiesser/ner-bert-german--03-28-23-22-04,03-29-00-30-41,mschiesser/ner-bert-german,0.317208564631245,0.411946446961895,0.9736294495700053,0.35842293906810035
